Price,Adj Close,Close,High,Low,Open,Volume,Return,Cumulative Return,MA20,MA50,Volatility
Ticker,ATW.CS,ATW.CS,ATW.CS,ATW.CS,ATW.CS,ATW.CS,,,,,
Date,,,,,,,,,,,
